Device,Starred,Slot,SSID,IP,City,Timezone,UTC Offset (snapshot)
37,,LA,LA,38.30.228.234,Los Angeles,America/Los_Angeles,UTC-7
38,,NY,NewY,149.119.188.239,Houston,America/Chicago,UTC-5
39,,22,sk5-sKxqM93-22,38.248.251.248,Salt Lake City,America/Denver,UTC-6
40,,LA2,los A2,66.80.133.165,Champaign,America/Chicago,UTC-5
41,,5,sk5-Ohq3pr5-5,66.80.132.145,Chicago,America/Chicago,UTC-5
42,,6,sk5-BegUSbD-6,66.80.132.109,Chicago,America/Chicago,UTC-5
43,,7,sk5-cF1ftq4-7,66.80.132.55,Chicago,America/Chicago,UTC-5
44,,8,sk5-Gutkfm7-8,167.148.11.249,Los Angeles,America/Los_Angeles,UTC-7
45,,9,sk5-HoOhuE1-9,167.148.11.178,Los Angeles,America/Los_Angeles,UTC-7
46,,10,sk5-XV5CGO0-10,216.151.247.177,Miami,America/New_York,UTC-4
47,,11,sk5-dwkt6p6-11,216.151.247.151,Miami,America/New_York,UTC-4
48,,12,sk5-Wnmgx21-12,216.151.247.86,Miami,America/New_York,UTC-4
49,,13,sk5-zTIahi6-13,64.50.132.179,New York,America/New_York,UTC-4
50,,14,sk5-mQBMsz2-14,204.1.124.138,Los Angeles,America/Los_Angeles,UTC-7
51,,15,sk5-jy8Pdh5-15,205.214.51.120,Washington DC,America/New_York,UTC-4
52,,16,sk5-tJK40M9-16,66.17.71.32,Ashburn,America/New_York,UTC-4
53,,17,sk5-YmDA275-17,66.17.66.219,Ashburn,America/New_York,UTC-4
54,,18,sk5-1RVFIIF-18,192.220.248.48,Los Angeles,America/Los_Angeles,UTC-7
55,,19,sk5-D5opjcE-19,207.97.145.247,Los Angeles,America/Los_Angeles,UTC-7
56,,20,sk5-AIGjr84-20,38.111.18.0,Washington DC,America/New_York,UTC-4
77,,21,sk5-PB91yo2-21,149.119.154.142,New York,America/New_York,UTC-4
78,,22,sk5-sKxqM93-22,38.248.251.248,Salt Lake City,America/Denver,UTC-6
79,,23,sk5-K7STXW3-23,213.177.252.14,London,Europe/London,UTC+1
80,,23,sk5-K7STXW3-23,213.177.252.14,London,Europe/London,UTC+1
81,,24,sk5-IpNz1a4-24,66.17.67.142,Ashburn,America/New_York,UTC-4
82,,24,sk5-IpNz1a4-24,66.17.67.142,Ashburn,America/New_York,UTC-4
83,,25,sk5-es6sLyF-25,86.53.88.107,London,Europe/London,UTC+1
84,,25,sk5-es6sLyF-25,86.53.88.107,London,Europe/London,UTC+1
85,,26,sk5-TXzbYfA-26,204.0.11.89,New York,America/New_York,UTC-4
86,,26,sk5-TXzbYfA-26,204.0.11.89,New York,America/New_York,UTC-4
87,,27,sk5-y8PRJvA-27,38.248.238.235,Salt Lake City,America/Denver,UTC-6
88,,27,sk5-y8PRJvA-27,38.248.238.235,Salt Lake City,America/Denver,UTC-6
89,,28,sk5-RdwmFLA-28,38.244.106.96,Washington DC,America/New_York,UTC-4
90,,28,sk5-RdwmFLA-28,38.244.106.96,Washington DC,America/New_York,UTC-4
91,,29,sk5-0cUX8gC-29,207.251.15.30,Denver,America/Denver,UTC-6
92,,29,sk5-0cUX8gC-29,207.251.15.30,Denver,America/Denver,UTC-6
93,,30,sk5-FZsQZD3-30,66.17.68.99,Ashburn,America/New_York,UTC-4
94,,30,sk5-FZsQZD3-30,66.17.68.99,Ashburn,America/New_York,UTC-4
95,,30,sk5-FZsQZD3-30,66.17.68.99,Ashburn,America/New_York,UTC-4
96,,31,sk5-2r7rm5E-31,66.17.67.142,Ashburn,America/New_York,UTC-4
97,,31,sk5-2r7rm5E-31,66.17.67.142,Ashburn,America/New_York,UTC-4
98,,31,sk5-2r7rm5E-31,66.17.67.142,Ashburn,America/New_York,UTC-4
99,,NY,NewY,149.119.188.239,Houston,America/Chicago,UTC-5
100,,los A2,los A2,66.80.133.165,Champaign,America/Chicago,UTC-5
101,,5,sk5-Ohq3pr5-5,66.80.132.145,Chicago,America/Chicago,UTC-5
102,yes,6,sk5-BegUSbD-6,66.80.132.109,Chicago,America/Chicago,UTC-5
103,,7,sk5-cF1ftq4-7,66.80.132.55,Chicago,America/Chicago,UTC-5
104,,8,sk5-Gutkfm7-8,167.148.11.249,Los Angeles,America/Los_Angeles,UTC-7
105,,9,sk5-HoOhuE1-9,167.148.11.178,Los Angeles,America/Los_Angeles,UTC-7
106,,10,sk5-XV5CGO0-10,216.151.247.177,Miami,America/New_York,UTC-4
107,,11,sk5-dwkt6p6-11,216.151.247.151,Miami,America/New_York,UTC-4
108,,12,sk5-Wnmgx21-12,216.151.247.86,Miami,America/New_York,UTC-4
109,,13,sk5-zTIahi6-13,64.50.132.179,New York,America/New_York,UTC-4
110,,14,sk5-mQBMsz2-14,204.1.124.138,Los Angeles,America/Los_Angeles,UTC-7
111,yes,15,sk5-jy8Pdh5-15,205.214.51.120,Washington DC,America/New_York,UTC-4
112,,16,sk5-tJK40M9-16,66.17.71.32,Ashburn,America/New_York,UTC-4
113,,17,sk5-YmDA275-17,66.17.66.219,Ashburn,America/New_York,UTC-4
114,,18,sk5-1RVFIIF-18,192.220.248.48,Los Angeles,America/Los_Angeles,UTC-7
115,,19,sk5-D5opjcE-19,207.97.145.247,Los Angeles,America/Los_Angeles,UTC-7
116,,20,sk5-AIGjr84-20,38.111.18.0,Washington DC,America/New_York,UTC-4
